,security_type,symbol,name,primary_exchange,currency,sector
sec-s-6517b947e07c45d287ad556ec591bb37,equity,CJT,Cargojet Inc. Common and Variable Voting Shares,TSX,CAD,"Fractional Trading, Logistics, Transportation"
sec-s-593e7a08455546ab94ce0df4b45c1ed5,equity,OMM,Omineca Mining and Metals Ltd,TSX-V,CAD,
sec-s-767e3d61dc92480787667bfa28ca686f,equity,GUS,Angus Gold Inc.,TSX-V,CAD,
sec-s-cf19ee1e4eaf44ea9e5305fadf92572a,equity,MEGA,MegaWatt Lithium and Battery Metals Corp,CSE,CAD,
sec-s-21111c7d8aaa44b2b71893d7158a7ec6,equity,ATE,Antibe Therapeutics Inc Common New,TSX,CAD,
sec-s-2552a9b32fe04ab5891421f9d99a1adc,equity,BWCG,Blackwolf Copper and Gold Ltd,TSX-V,CAD,
sec-s-9e7b7b3c7552463289e38b439ea7ba6d,equity,STAG,St. Anthony Gold Corp.,CSE,CAD,
sec-s-aa8bd36739634590a181c6ecf1ff81a7,equity,XYZ,Anacortes Mining Corporation,TSX-V,CAD,
sec-s-b12aafdcc02f4f56b9335e2c2154e58b,equity,SAU,St. Augustine Gold and Copper Ltd,TSX,CAD,
sec-s-9216e329c49c43ff86e3f4433790a68d,equity,MMP.UN,Precious Metals and Mining Trust.,TSX,CAD,Finance
sec-s-867fda1c92594760b428a92e480efa6a,equity,TWM,Tidewater Midstream and Infrastructure Ltd,TSX,CAD,"Energy, Oil and Gas"
sec-s-bf27aa720aa04a5a96d4b7abcd27e36b,equity,GAME,Engine Gaming and Media Inc,TSX-V,CAD,
sec-s-fce363e0e34c457a8056e30a124b9fad,equity,SQX,Squatex Energy and Ressources Inc.,CSE,CAD,
